term,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,synonym_1,synonym_2,synonym_3
invade,0,0,0,0,0,0,1,0,0,0,attack
competitor,0,0,0,0,0,0,0,0,0,0,combatant
spine,0,0,0,0,0,1,0,0,0,0,courage
refuge,0,0,0,0,0,0,0,0,0,0,refuge
german,0,0,0,0,0,0,0,0,0,0,consanguinity
fain,0,0,0,0,0,1,0,0,0,1,desire
hunk,0,0,0,0,0,0,0,0,0,0,beauty
horizontally,0,0,0,0,0,0,0,0,0,0,horizontality
future,0,0,0,0,0,0,0,0,0,0,futurity
compensate,0,0,0,0,0,1,0,0,0,1,compensation
sickening,0,0,0,0,0,0,1,1,1,0,painfulness
insular,0,0,0,0,0,0,0,0,0,0,isolated,adrift,irrespective
caress,0,0,0,0,0,1,0,0,0,0,endearment
patent,0,0,0,0,0,1,0,0,0,0,property
mien,0,0,0,0,0,0,0,0,0,0,appearance
cognate,0,0,0,0,0,0,0,0,0,0,relation
husk,0,0,0,0,0,0,0,0,0,0,covering
inconspicuous,0,0,0,0,0,0,0,0,0,0,invisibility
proportions,0,0,0,0,0,0,0,0,0,0,space
struggle,1,0,0,0,0,0,1,0,0,0,contention,strife,contest
perfume,0,0,0,0,0,0,0,0,0,0,fragrance
heir,0,0,0,0,0,0,0,0,0,0,posterity
nib,0,0,0,0,0,0,0,0,0,0,sharpness,tooth,spoke
security,0,0,0,0,0,0,0,0,0,0,security
lowly,0,0,0,0,0,0,1,1,0,0,humility
melee,1,0,0,0,0,0,1,0,0,0,disorder
hasty,0,0,0,0,0,0,1,0,0,0,hurried,electric,galvanic
enterprising,0,0,0,0,0,1,0,0,0,0,activity
hooked,0,0,0,0,0,0,1,0,0,0,curvature
combative,1,0,0,0,0,0,1,0,0,0,warfare
sarcasm,0,0,0,0,0,0,0,0,0,0,detraction
demolish,0,1,0,0,0,0,1,1,0,0,confutation
untouched,0,0,0,0,0,0,0,0,0,0,disuse
extermination,0,0,0,0,0,0,0,0,0,0,end
spoiler,0,0,0,0,0,0,1,1,0,0,thief
therewith,0,0,0,0,0,0,0,0,0,0,means
clientele,0,0,0,0,0,0,0,0,0,0,purchase
succumb,0,0,0,0,0,0,0,0,0,0,submission
wait,0,0,1,0,0,0,1,0,0,0,lateness
transmission,0,0,0,0,0,0,0,0,0,0,transference
indefensible,0,0,0,0,0,0,1,0,0,0,impotence,untenable,defenseless
catastrophe,1,0,0,0,1,0,1,1,0,0,evil
penetrating,0,0,0,0,0,0,0,0,0,0,feeling
falsify,0,0,0,0,0,0,1,0,0,0,falsehood
event,0,0,0,0,0,0,0,0,0,0,occasion
residual,0,0,0,0,0,0,0,0,0,0,remainder
relapse,1,0,0,0,0,0,1,1,0,0,relapse
credible,0,0,0,1,0,1,0,0,0,0,possibility
cape,0,0,0,0,0,0,0,0,0,0,convexity
sociable,0,0,0,0,0,1,0,0,0,0,sociality
shaky,1,1,1,0,0,0,1,0,0,0,fear
excavation,0,0,1,0,1,0,1,0,0,0,concavity
inactivation,0,0,0,0,0,0,0,0,0,0,destruction
throne,0,0,0,0,0,0,0,0,0,0,scepter
melancholic,0,0,0,0,0,0,1,1,0,0,dullness
pursuit,0,0,0,0,0,0,0,0,0,0,approach,access,advent
audacious,0,0,0,0,0,0,0,0,0,0,courage
haven,0,0,0,1,0,1,0,0,0,0,refuge
acres,0,0,0,0,0,0,0,0,0,0,property
exemption,0,0,0,0,0,1,0,0,0,0,permission
fling,0,0,0,0,0,0,0,0,0,0,propulsion
flirt,0,0,1,1,1,1,0,0,0,1,toy,spoon,woo
masterpiece,0,0,0,0,0,1,0,0,0,1,skill
crew,0,0,0,0,0,0,0,0,0,0,inhabitant,garrison,colony
extra,0,0,0,0,0,1,0,0,0,0,redundancy
impede,0,0,0,0,0,0,1,0,0,0,hindrance
hall,0,0,0,0,0,0,0,0,0,0,abode,court,tower
dreary,0,0,0,0,0,0,0,0,0,0,dejection
inadmissible,0,0,0,0,0,0,0,0,1,0,inconvenient,ineligible,undesirable
gloomy,0,0,0,0,0,0,1,1,0,0,darkness
rustic,0,0,0,0,0,0,0,0,0,0,rude,barbarian,homely
philanthropist,0,0,0,1,0,1,0,0,0,0,philanthropy
election,0,0,0,0,0,0,0,0,0,0,necessity
independence,0,0,1,1,0,1,0,0,0,1,freedom
condemnation,1,1,0,0,0,0,1,0,1,0,condemnation
rote,0,0,0,0,0,0,0,0,0,0,teaching
gainful,0,0,0,0,0,0,0,0,0,0,acquisition
bearded,0,0,0,0,0,0,0,0,0,0,roughness
worship,1,0,1,1,0,1,0,0,0,1,homage,humiliation,adoration
porridge,0,0,0,0,0,0,0,0,0,0,food
ordeal,0,1,0,0,1,0,1,0,0,0,experiment
intelligible,0,0,0,0,0,0,0,0,0,0,meaning
terrorism,1,1,0,0,0,0,1,1,1,0,insolence
shellfish,0,0,0,0,0,0,0,0,0,0,animal
uninspired,0,0,0,0,0,0,1,1,0,0,insensibility
impolite,0,0,0,0,0,0,1,0,1,0,discourtesy
pond,0,0,0,0,0,0,0,0,0,0,gulf
lose,0,0,0,0,0,0,1,1,0,0,failure,limp,sink
ingredient,0,0,0,0,0,0,0,0,0,0,component
blackness,0,0,0,0,0,0,1,1,0,0,blackness
drought,0,0,0,0,0,0,1,0,0,0,insufficiency
bier,1,0,0,0,0,0,1,1,0,0,interment
jaws,1,0,0,0,0,0,0,0,0,0,edge
journey,0,0,1,0,0,0,0,0,0,0,passage
obtainable,0,0,0,0,0,1,0,0,0,1,possibility
recline,0,0,0,0,0,0,0,0,0,0,depression
backbone,0,0,0,0,0,1,0,0,0,0,resolution
reciprocity,0,0,0,0,0,0,0,0,0,0,interchange
prohibited,1,0,0,0,0,0,1,0,1,0,illegality
covet,0,0,0,0,0,0,1,0,0,0,envy
reparation,0,0,0,0,0,1,0,0,0,0,atonement,redress,indemnification
disastrous,1,0,0,0,0,0,1,1,0,0,badness,untoward,unlucky
improvised,0,0,0,0,0,0,0,0,0,0,nonpreparation
vinegar,0,0,0,0,0,0,0,0,0,0,sourness
waver,0,0,0,0,0,0,0,0,0,0,changeableness
joyous,0,0,0,0,0,1,0,0,0,1,cheerfulness
meditate,0,0,1,1,0,1,0,0,0,1,intention
forgiven,0,0,0,0,0,1,0,0,0,0,forgiveness
mesa,0,0,0,0,0,0,0,0,0,0,plain
dusty,0,0,0,0,0,0,0,0,0,0,pulverulence
mystical,0,0,0,0,0,0,0,0,0,0,unintelligibility
accountant,0,0,0,1,0,0,0,0,0,0,accounts
disappointment,0,0,0,0,0,0,1,1,1,0,disappointment
technology,0,0,0,0,0,1,0,0,0,0,skill
recession,1,0,0,0,0,0,1,1,0,0,recession
cranium,0,0,0,0,0,0,0,0,0,0,intellect
addiction,0,0,0,0,0,0,1,0,0,0,habit
vacuous,0,0,0,0,0,0,0,0,0,0,incogitancy
tramp,0,0,0,0,0,0,0,0,0,0,journey,constitutional,pilgrimage
ghastly,1,0,0,0,0,0,1,0,1,0,ugliness
showing,0,0,0,0,0,0,0,0,0,0,evidence
explode,1,1,0,0,1,0,1,1,0,0,violence,set off,fly off
composite,0,0,0,0,0,0,0,0,0,0,mixture
empower,0,0,0,0,0,1,0,0,0,0,power
botany,0,0,0,0,0,0,0,0,0,0,organization
lender,0,0,0,1,0,0,0,0,0,0,credit
organist,0,0,0,0,0,0,0,0,0,0,musician
indemnity,0,0,0,1,0,0,0,0,0,0,compensation
robe,0,0,0,0,0,0,0,0,0,0,canonicals
tenuous,0,0,0,0,0,0,0,0,0,0,rarity
biased,0,0,0,0,0,0,1,0,0,0,inequality
insect,0,0,0,0,0,0,0,0,0,0,littleness
waltz,0,0,0,0,0,0,0,0,0,0,music
inattention,0,1,0,0,0,0,1,0,0,0,neglect
blink,0,0,0,0,0,0,0,0,0,0,neglect,pass over,disregard
thoroughbred,0,0,0,0,0,1,0,0,0,0,inherited,hereditary,incarnate
fame,0,0,0,0,0,0,0,0,0,0,memory
communication,0,0,0,0,0,0,0,0,0,0,giving,endowment,delivery
tome,0,0,0,0,0,0,0,0,0,0,book
rotary,0,0,0,0,0,0,0,0,0,0,rotation
occasion,0,0,0,0,0,0,0,0,0,0,occasion
darkened,1,0,0,0,0,0,1,1,0,0,darkness
subway,0,0,0,0,0,0,0,0,0,0,journey
snowflake,0,0,0,0,0,0,0,0,0,0,cold
cherish,0,0,1,1,0,1,0,0,0,1,aid
oblique,0,0,0,0,0,0,0,0,0,0,curvature
mew,0,0,0,0,0,0,0,0,0,0,ululation
prepared,0,0,1,0,0,1,0,0,0,0,plan
hardy,0,0,0,1,0,1,0,0,0,1,strength
accustomed,0,0,0,0,0,0,0,0,0,0,facility
knight,0,0,0,0,0,1,0,0,0,0,nobility
merit,0,0,0,1,0,1,0,0,0,0,goodness
animate,0,0,0,0,0,1,0,0,0,0,cheerfulness
squeak,0,0,0,0,0,0,0,0,0,0,ululation
misbehavior,0,1,0,0,0,0,1,0,1,0,guilt
subito,0,0,0,0,1,0,0,0,0,0,instantaneity
activity,0,0,0,0,0,0,0,0,0,0,physical energy
destructive,1,1,0,0,0,0,1,0,1,0,badness
transcript,0,0,0,1,0,0,0,0,0,0,writing
lagoon,0,0,0,0,0,0,0,0,0,0,gulf
proportions,0,0,0,0,0,0,0,0,0,0,size
panache,0,0,0,0,0,1,0,0,0,0,ornament
tissue,0,0,0,0,0,0,0,0,0,0,whole,body,lump
lowering,0,0,0,0,0,0,0,0,0,0,depression
shoemaker,0,0,0,0,0,0,0,0,0,0,clothing
inserted,0,0,0,0,0,0,0,0,0,0,insertion
incapable,0,0,0,0,0,0,0,0,0,0,impotence
cremation,0,0,0,0,0,0,0,1,0,0,interment
tile,0,0,0,0,0,0,0,0,0,0,covering
retaliate,0,1,0,0,0,0,1,0,0,0,retaliation
ascension,0,0,0,0,0,0,0,0,0,0,ascent
fountain,0,0,0,0,0,0,0,0,0,0,river
praise,0,0,0,1,0,1,0,0,0,1,worship,magnify,bless
responsible,0,0,0,1,0,1,0,0,0,0,duty
throttle,0,0,0,0,0,0,0,0,0,0,taking,clinch,clasp
esteem,0,0,0,1,0,1,0,1,0,1,approbation
offender,1,1,0,0,0,0,1,1,1,0,bad man
renovation,0,0,1,0,0,1,0,0,0,1,newness
shingle,0,0,0,0,0,0,0,0,0,0,materials
training,0,0,0,0,0,0,0,0,0,0,preparation
forage,0,0,0,0,0,0,0,0,0,0,food
debacle,1,0,0,0,0,0,1,0,0,0,descent,landslide,avalanche
angling,0,0,1,0,0,0,1,0,0,0,pursuit
toothache,1,0,0,0,0,0,1,0,0,0,physical pain
guillotine,1,0,1,0,0,0,1,1,1,0,sharpness
ugliness,1,0,0,0,0,0,1,0,1,0,distortion
epidemic,1,0,1,0,1,0,1,1,1,0,disease,endemic,incurable
muck,0,0,0,0,0,0,1,0,1,0,uncleanness
enlist,0,0,0,0,0,0,0,0,0,0,commission
exertion,0,0,0,0,0,0,0,0,0,0,physical energy
flagrant,0,1,0,0,0,0,1,0,1,0,manifestation,notorious,glaring
landlocked,0,0,0,0,0,0,0,0,0,0,circumscription
prying,0,0,0,0,0,0,1,0,0,0,inquiry
ghastly,0,0,0,0,0,0,1,0,1,0,achromatism
comprehend,0,0,0,0,0,1,0,0,0,0,inclusion,receive,admit
glimmer,0,0,1,0,1,1,0,0,0,1,knowledge,dawn,light
facsimile,0,0,0,0,0,0,0,0,0,0,imitation,xerox,reproduction
admirable,0,0,0,1,0,1,0,0,0,1,virtue
marrow,0,0,0,1,0,1,0,0,0,1,meaning,essence,gist
sensibly,0,0,0,0,0,1,0,0,0,0,sensibility
dusk,0,0,0,0,0,0,0,0,0,0,evening
sentry,0,0,0,1,0,0,0,0,0,0,keeper
runway,0,0,0,0,0,0,0,0,0,0,arrival
befriend,0,0,0,1,0,1,0,0,0,1,friendship
rebut,0,0,0,0,0,0,0,0,0,0,answer,rejoin,reply
gunpowder,0,0,0,0,0,0,0,0,0,0,arms
discern,0,0,0,0,0,0,0,0,0,0,vision
wasteful,0,0,0,0,0,0,1,0,1,0,waste
instinct,0,0,0,0,0,0,0,0,0,0,intuition
clap,0,0,1,1,0,1,0,0,0,1,approbation
spice,0,0,0,0,0,0,0,0,0,0,condiment,flavor,season
watchman,0,0,0,0,0,0,0,0,0,0,safety
jockey,0,0,0,0,0,0,0,0,0,0,decoy,rogue,crimp
omit,0,0,0,0,0,0,1,0,0,0,neglect
prejudicial,0,1,0,0,0,0,1,0,0,0,badness
hinge,0,0,0,0,0,0,0,0,0,0,cause,pivot,turning point
scholar,0,0,0,0,0,1,0,0,0,0,knowledge
lecturer,0,0,0,0,0,0,0,0,0,0,clergy
provincial,0,0,0,0,0,0,0,0,0,0,abode
dividend,0,0,0,0,0,0,0,0,0,0,apportionment
rebel,1,1,0,0,0,0,1,0,0,0,disobedience
checker,0,0,0,0,0,0,0,0,0,0,variegation
menial,0,0,0,0,0,0,1,0,0,0,commonality
hop,0,0,0,0,0,0,0,0,0,0,leap
unbelief,0,0,0,0,0,0,1,0,0,0,irreligion
racket,0,0,0,0,0,0,1,0,0,0,roll,clutter,cuckoo
cerebral,0,0,0,0,0,1,0,0,0,0,intellect
affirmation,0,0,0,0,0,1,0,0,0,0,affirmation
cusp,0,0,0,0,0,0,0,0,0,0,angularity
ferry,0,0,0,0,0,0,0,0,0,0,method
destiny,0,0,0,0,0,0,0,0,0,0,expectation,perspective,horizon
susceptible,0,0,0,0,0,0,1,0,0,0,irascibility
unhappy,0,0,0,0,0,0,1,1,0,0,dejection
apostasy,0,0,0,0,0,0,0,0,0,0,tergiversation
annihilate,1,1,0,0,0,0,1,0,0,0,inexistence
insignia,0,0,0,0,0,0,0,0,0,0,indication
holding,0,0,0,0,0,0,0,0,0,0,possession
probability,0,0,1,0,0,0,0,0,0,0,chance
conflict,1,1,0,0,0,0,1,0,0,0,contention,skirmish,battle
coming,0,0,1,0,0,0,0,0,0,0,futurity
debacle,1,0,0,0,0,0,1,0,0,0,violence,bounce,detonation
camouflage,0,0,0,0,0,0,0,0,0,0,defense
transmit,0,0,0,0,0,0,0,0,0,0,passage,make way,cross
buying,0,0,0,0,0,0,0,0,0,0,purchase
classification,0,0,0,0,0,0,0,0,0,0,arrangement
iota,0,0,0,0,0,0,0,0,0,0,smallness
unlucky,0,1,0,0,0,0,1,1,1,0,unfortunate,unfavorable,intrusive
monogamy,0,0,0,1,0,0,0,0,0,0,marriage
static,0,0,0,0,0,0,0,0,0,0,attraction
beau,0,0,0,0,0,0,0,0,0,0,love
triumphant,0,0,1,0,0,1,0,0,0,1,boasting
cigar,0,0,0,0,0,0,0,0,0,0,pungency
indelible,0,0,0,1,0,1,0,0,0,0,stability,indestructible,undying
ring,0,0,0,0,0,0,0,0,0,0,arena
cuckoo,0,0,0,0,0,0,1,0,0,0,cry,crying,drone
unmanageable,0,0,0,0,0,0,0,0,0,0,inexpedience
exceed,0,0,0,0,0,1,0,0,0,0,superiority,transcend,excel
compensate,0,0,1,0,0,1,0,0,0,1,reward
precaution,0,0,0,0,0,1,0,0,0,0,care
rye,0,0,0,0,0,0,0,0,0,0,drunkenness
gluttony,0,0,0,0,0,0,1,0,1,0,gluttony
possession,0,0,0,0,0,0,0,0,0,0,possession
flexion,0,0,0,0,0,0,0,0,0,0,curvature
palpable,0,0,0,0,0,0,0,0,0,0,visibility,recognizable,obvious
gardener,0,0,0,0,0,0,0,0,0,0,agriculture
intercession,0,0,0,0,0,0,0,0,0,0,mediation,interference,intervention
febrile,0,0,0,0,0,0,1,0,0,0,excitability
repression,1,0,0,0,0,0,1,0,0,0,restraint
abdomen,0,0,0,0,0,0,0,0,0,0,interiority
manage,0,0,0,1,0,1,0,0,0,0,conduct
unyielding,0,0,0,0,0,0,0,0,0,0,resistance,stubborn,indomitable
movement,0,0,0,0,0,0,0,0,0,0,music,composition,melody
extrusion,0,0,0,0,0,0,0,0,0,0,excretion
pleated,0,0,0,0,0,0,0,0,0,0,fold
nourishment,0,0,0,0,0,1,0,0,0,0,aid
hoof,0,0,0,0,0,0,0,0,0,0,base
bobbin,0,0,0,0,0,0,0,0,0,0,rotation
tabulate,0,0,1,0,0,0,0,0,0,0,continuity
hog,0,0,0,0,0,0,1,0,1,0,gluttony
apprehend,0,0,0,0,0,0,0,0,0,0,belief,fancy,conceive
mow,0,0,0,0,0,0,0,0,0,0,store,harvest,crop
discount,0,0,0,0,0,0,0,0,0,0,bate,abate,tax
yearning,0,0,1,1,0,1,1,0,0,1,love
mile,0,0,0,0,0,0,0,0,0,0,length
genuine,0,0,0,1,0,1,0,0,0,0,goodness
scene,0,0,0,0,0,0,0,0,0,0,excitability,fit,burst
reality,0,0,0,0,0,0,0,0,0,0,existence
sorghum,0,0,0,0,0,0,0,0,0,0,sweetness
reel,0,0,0,0,0,0,0,0,0,0,agitation
island,0,0,0,0,0,0,0,0,0,0,island
supremely,0,0,0,0,0,1,0,0,0,0,superiority
whirlwind,0,0,0,0,0,0,0,0,0,0,agitation,whirlpool,ferment
confound,0,0,0,0,0,0,0,0,0,0,confutation
perpetuity,0,0,0,1,0,0,0,0,0,0,perpetuity
apportion,0,0,0,0,0,0,0,0,0,0,nonassemblage
cascade,0,0,0,0,0,1,0,0,0,0,river
coolness,0,0,0,0,0,0,0,0,0,0,coldness,recklessness,marble
object,0,0,0,0,0,0,0,0,0,0,materiality,article,thing
doctrine,0,0,0,0,0,0,0,0,0,0,knowledge
recreational,0,0,1,0,0,1,0,0,0,1,amusement
starlight,0,0,0,0,0,1,0,0,0,0,light
juicy,0,0,0,0,0,0,0,0,0,0,fluidity
denounce,0,0,0,0,0,0,1,0,0,0,accuse,attack,oppose
euchre,0,0,0,0,0,0,0,0,0,0,amusement
sauce,0,0,0,0,0,0,0,0,0,0,condiment,seasoning,appetizer
magazine,0,0,0,0,0,0,0,0,0,0,record,newspaper,daily
fluffy,0,0,0,0,0,0,0,0,0,0,roughness
divided,0,0,0,0,0,0,0,0,0,0,part
hydrology,0,0,0,0,0,0,0,0,0,0,fluidity
prose,0,0,0,0,0,0,0,0,0,0,heaviness,stupidity,flatness
adverse,1,1,0,0,0,0,1,1,1,0,opposition,antagonistic,opposed
cruise,0,0,0,0,0,0,0,0,0,0,navigation
successful,0,0,1,1,0,1,0,0,0,1,success
honest,0,0,0,1,0,1,0,0,0,1,probity,fair,square
kaleidoscope,0,0,0,0,0,0,0,0,0,0,optical instruments
rabble,0,0,0,0,0,0,1,0,0,0,commonality
gaunt,0,0,0,0,0,0,0,0,0,0,emaciated,lean,meager
exaltation,0,0,0,1,0,1,0,0,0,1,elevation
malicious,1,1,0,0,0,0,1,1,1,0,malevolence
amusement,0,0,0,0,0,1,0,0,0,1,amusement
culprit,0,0,0,0,0,0,1,0,0,0,bad man
perennial,0,0,0,1,0,1,0,0,0,0,stability,unaltered,unchangeable
prohibitive,0,0,0,0,0,0,0,0,0,0,prohibition
atonement,0,0,0,0,0,1,0,0,0,0,reparation,redress,indemnification
longitudinal,0,0,0,0,0,0,0,0,0,0,length
loyalty,0,0,0,1,0,1,0,0,0,0,probity
obstruction,0,0,0,0,0,0,0,0,0,0,hindrance
embassy,0,0,0,0,0,0,0,0,0,0,commission
abortive,0,0,0,0,0,0,1,1,0,0,nonpreparation
allotment,0,0,0,0,0,0,0,0,0,0,apportionment
deluge,1,0,0,0,1,0,1,0,0,0,assemblage,rush,flood
dishonor,1,1,0,0,0,0,1,1,1,0,disrepute
notoriety,1,1,0,0,0,1,1,0,0,0,repute
inform,0,0,0,1,0,0,0,0,0,0,information
booby,0,0,0,0,0,0,1,0,0,0,fool
connoisseur,0,0,0,1,0,1,0,0,0,1,scholar,professor,graduate
lotion,0,0,0,0,0,0,0,0,0,0,cathartic,wash,detergent
manual,0,0,0,0,0,0,0,0,0,0,school,rudiments,primer
indirect,0,0,0,0,0,0,0,0,0,0,deviation
eagerness,0,0,1,0,0,1,0,0,0,0,willingness,readiness,goodwill
animated,0,0,0,0,0,1,0,0,0,0,activity
knead,0,0,0,0,0,0,0,0,0,0,mixture
abstain,0,0,0,0,0,0,0,0,0,0,temperance
sepsis,1,0,0,0,0,0,1,1,0,0,disease
mastermind,0,0,0,0,0,0,0,0,0,0,proficient
rural,0,0,0,0,0,0,0,0,0,0,agriculture
flirt,0,0,1,0,0,1,0,0,0,1,propulsion,toss,fling
psalm,0,0,0,0,0,1,0,0,0,0,worship
malign,0,1,0,0,0,0,1,0,1,0,detraction
throttle,0,1,0,0,0,0,1,0,0,0,impotence,strangle,lame
exhortation,0,0,0,0,0,1,0,0,0,0,motive
squall,0,0,0,0,0,0,0,0,0,0,wind
insignificant,0,0,0,0,0,0,1,0,0,0,unmeaningness
veto,0,1,0,0,0,0,1,0,0,0,prohibition
infliction,1,0,0,0,0,0,1,1,0,0,adversity,visitation,trial
partly,0,0,0,0,0,0,0,0,0,0,part
gust,0,0,0,0,0,0,0,0,0,0,excitability,whiff,story
unsurpassed,1,0,1,1,0,1,0,0,0,1,superiority
particulars,0,0,0,0,0,0,0,0,0,0,speciality
manifestation,1,0,0,0,0,0,0,0,0,0,visibility
diet,0,0,0,0,0,0,0,0,0,0,food
palmer,0,0,0,0,0,0,0,0,0,0,traveler
probable,0,0,0,0,0,0,0,0,0,0,probability
atrocity,1,1,0,0,0,0,1,1,1,0,vice
illustrate,0,0,0,0,0,0,0,0,0,0,conformity,quote,cite
include,0,0,0,0,0,1,0,0,0,0,composition
pyramid,0,0,0,0,0,0,0,0,0,0,sharpness,steeple,crest
institute,0,0,0,0,0,0,0,0,0,0,school,institution,university
personification,0,0,0,0,0,0,0,0,0,0,metaphor
deliberate,0,0,0,0,0,1,0,0,0,0,leisure,quiet,calm
simulate,0,0,0,0,0,0,0,0,0,0,imitation
disclose,0,0,0,0,0,0,0,0,0,0,manifestation
conundrum,0,0,0,0,0,0,0,0,0,0,equivocalness
prudent,0,0,0,0,0,1,0,0,0,0,care
intolerant,0,0,0,0,0,0,1,0,0,0,fanatical,confined,dogmatic
brigade,1,0,0,0,0,0,1,0,0,0,combatant
mastery,0,0,0,1,0,1,0,0,0,1,success
drivel,0,0,0,0,0,0,1,0,0,0,insanity
disagree,0,1,0,0,0,0,1,0,0,0,discord
knowledge,0,0,0,0,0,1,0,0,0,0,information
orb,0,0,0,0,0,0,0,0,0,0,region,district,sphere
peninsula,0,0,0,0,0,0,0,0,0,0,land
secession,0,0,0,0,0,0,0,0,0,0,dissent
armament,0,0,0,0,0,0,0,0,0,0,preparation
mistake,0,0,0,0,0,0,1,1,0,0,misinterpretation
fulcrum,0,0,0,0,0,0,0,0,0,0,support
porous,0,0,0,0,0,0,0,0,0,0,opening
massive,0,0,0,0,0,0,0,0,0,0,density
inborn,0,0,0,0,0,0,0,0,0,0,intrinsicality
heartburn,0,0,0,0,0,0,1,0,0,0,disease
affirmatively,0,0,0,0,0,1,0,0,0,0,assent
deportation,1,1,0,0,0,0,1,1,0,0,ejection
turmoil,1,0,0,0,0,0,1,0,0,0,disorder
cede,0,0,0,0,0,0,1,0,0,0,relinquishment
smug,0,0,0,0,0,0,1,0,0,0,affectation
nihilism,0,0,0,0,0,0,1,0,0,0,inexistence
straighten,0,0,0,0,0,0,0,0,0,0,straightness
diversion,0,0,0,0,0,1,0,0,0,0,amusement
chuckle,0,0,1,1,1,1,0,0,0,1,boasting
trellis,0,0,0,0,0,0,0,0,0,0,crossing
publisher,0,0,0,0,0,0,0,0,0,0,publication
usage,0,0,0,0,0,0,0,0,0,0,use
junk,0,0,0,0,0,0,1,0,0,0,inutility
monetary,0,0,1,0,0,1,0,0,0,0,accounts
salve,0,0,0,0,0,1,0,0,0,0,remedy
deluge,0,0,0,0,0,0,0,0,0,0,water,irrigate,slop
fumigation,0,0,0,0,0,0,0,0,0,0,vaporization
illustrious,0,0,0,0,0,1,0,0,0,0,repute
caterpillar,0,0,0,0,0,0,0,0,0,0,infant
diplomatic,0,0,0,1,0,1,0,0,0,0,courtesy
pivot,0,0,0,0,0,0,0,0,0,0,support,peg,keystone
ungodly,0,0,0,0,0,0,1,1,0,0,irreligion
shrub,0,0,0,0,0,0,0,0,0,0,vegetable
stocking,0,0,0,0,0,0,0,0,0,0,clothing
result,0,0,0,0,0,0,0,0,0,0,effect,consequence,bud
traditional,0,0,0,0,0,1,0,0,0,0,oldness
diminish,0,0,0,0,0,0,0,0,0,0,contraction,contract,narrow
ledger,0,0,0,0,0,0,0,0,0,0,list
anchorage,0,0,0,0,0,0,0,0,0,0,refuge,quay,haven
docket,0,0,0,0,0,0,0,0,0,0,security,voucher,warrant
rejoice,0,0,1,1,0,1,0,0,0,1,amusement,solace,cheer
valiant,0,0,0,0,0,1,0,0,0,0,courage
impress,0,0,0,0,0,0,0,0,0,0,physical sensibility,cultivate,feel
training,0,0,0,0,0,0,0,0,0,0,teaching
apron,0,0,0,0,0,0,0,0,0,0,clothing
tunnel,0,0,0,0,0,0,0,0,0,0,method,ferry,pass
avoidance,1,0,0,0,0,0,1,0,0,0,avoidance
unison,0,0,0,0,0,0,0,0,0,0,agreement
drumming,0,0,0,0,0,0,0,0,0,0,roll
writ,0,0,0,0,0,0,0,0,0,0,lawsuit
cane,0,1,0,0,0,0,0,0,0,0,arms
brawl,1,1,0,0,0,0,1,0,0,0,cry,roar,howl
tirade,0,1,0,0,0,0,1,0,1,0,disapprobation
luster,0,0,0,0,0,0,0,0,0,0,repute
marine,0,0,0,0,0,0,0,0,0,0,ship
merchandise,0,0,0,0,0,0,0,0,0,0,merchandise
silly,0,0,0,0,0,0,1,0,0,0,green,stupid,childish
ventilator,0,0,0,0,0,0,0,0,0,0,wind
emigration,0,0,0,0,0,0,0,0,0,0,egress
disparaging,0,1,0,0,0,0,1,1,1,0,detraction
sugar,0,0,0,0,0,1,0,0,0,0,favorite
cutter,0,0,0,0,0,0,0,0,0,0,vehicle
fruit,0,0,0,0,0,0,0,0,0,0,production
wavy,0,0,0,0,0,0,0,0,0,0,convolution
meaningless,0,0,0,0,0,0,1,1,0,0,unmeaningness
aggravation,0,1,0,0,0,0,1,0,0,0,aggravation
disused,0,0,0,0,0,0,1,0,0,0,desuetude
rocks,0,0,0,0,0,0,0,0,0,0,pitfall
debris,0,0,0,0,0,0,1,0,1,0,inutility
subvert,0,0,0,0,0,0,0,0,0,0,depression,fell,level
survey,0,0,0,0,0,0,0,0,0,0,vision,regard,stare
witch,1,1,0,0,0,0,1,0,0,0,sorcerer
active,0,0,0,0,0,0,0,0,0,0,physical energy
offing,0,0,0,0,0,0,0,0,0,0,ocean
portrait,0,0,0,0,0,0,0,0,0,0,copy
exile,0,0,0,0,0,0,1,1,0,0,displacement,transposition,removal
perpetuation,0,0,0,0,0,0,0,0,0,0,continuance in action
tense,0,0,0,0,0,0,0,0,0,0,hardness
conductor,0,0,0,0,0,0,0,0,0,0,director
layered,0,0,0,0,0,0,0,0,0,0,layer
rhythm,0,0,0,0,0,1,0,0,0,0,poetry,rhyme,numbers
thumb,0,0,0,0,0,0,0,0,0,0,touch
classical,0,0,0,0,0,1,0,0,0,0,elegance
sty,0,0,0,0,0,0,1,0,1,0,uncleanness
mew,0,0,0,0,0,0,0,0,0,0,lamentation
fasten,0,0,0,0,0,0,0,0,0,0,junction
inoculation,0,0,1,0,0,0,0,0,0,0,insertion
detail,0,0,0,0,0,0,0,0,0,0,apportionment
auxiliary,0,0,0,0,0,0,0,0,0,0,aid,adjuvant,helpful
swagger,0,0,0,0,0,0,0,0,0,0,insolence
proprietary,0,0,0,0,0,0,0,0,0,0,possessor
unusual,0,0,0,0,0,0,0,0,0,0,unconformity
rectify,0,0,0,0,0,1,0,0,0,0,improvement
defiance,1,1,0,0,0,0,1,0,0,0,threat,cartel,dare
hermit,0,0,0,1,0,0,0,1,0,0,asceticism
